Date,Net Income,Depreciation & Amortization,Share-Based Compensation,Other Operating Activities,Operating Cash Flow,Operating Cash Flow Growth,Capital Expenditures,Acquisitions,Change in Investments,Investing Cash Flow,Share Issuance / Repurchase,Debt Issued / Paid,Other Financing Activities,Financing Cash Flow,Exchange Rate Effect,Net Cash Flow,Free Cash Flow,Free Cash Flow Growth,Free Cash Flow Margin,Free Cash Flow Per Share
2023-06-30,6750,11589,7127,-8990,16476,83.78%,-10412,-316,1055,-9673,0,-6539,-,-6539,69,333,6064,-,4.51%,0.59
2023-03-31,3172,11123,4748,-14255,4788,-,-13070,-3513,777,-15806,0,6354,-,6354,145,-4519,-8282,-,-6.50%,-0.81
2022-12-31,278,13145,5606,10144,29173,32.09%,-15440,-831,5450,-10821,0,86,-,86,637,19075,13733,144.53%,9.20%,1.34
2022-09-30,2872,10204,5556,-7228,11404,55.94%,-15041,-885,318,-15608,0,3016,-,3016,-1334,-2522,-3637,-,-2.86%,-0.36
2022-06-30,-2028,9716,5209,-3932,8965,-29.49%,-14098,-259,2279,-12078,-3334,7960,-,4626,-412,1101,-5133,-,-4.23%,-0.50
2022-03-31,-3844,9193,3250,-11389,-2790,-,-13742,-6341,20989,906,-2666,4656,-,1990,16,122,-16532,-,-14.20%,-1.63
2021-12-31,14323,9939,3680,-5856,22086,-27.42%,-16470,-381,4271,-12580,0,-3100,-,-3100,-106,6300,5616,-67.42%,4.09%,0.55
2021-09-30,3156,8948,3180,-7971,7313,-38.87%,-14751,-654,577,-14828,0,-2776,-,-2776,-199,-10490,-7438,-,-6.71%,-0.73
2021-06-30,7778,8038,3591,-6692,12715,-38.29%,-12988,-320,-8772,-22080,0,15643,-,15643,234,6512,-273,-,-0.24%,-0.03
2021-03-31,8107,7508,2306,-13708,4213,37.50%,-11187,-630,3151,-8666,0,-3476,-,-3476,-293,-8222,-6974,-,-6.43%,-0.69
2020-12-31,7222,7547,2562,13100,30431,54.79%,-13194,-380,-3463,-17037,0,-1816,-,-1816,597,12175,17237,9.66%,13.73%,1.72
2020-09-30,6331,6523,2288,-3178,11964,51.60%,-9808,-1735,-4333,-15876,0,-4105,-,-4105,377,-7640,2156,-52.16%,2.24%,0.21
2020-06-30,5243,5748,2601,7014,20606,125.99%,-6615,-118,-11071,-17804,0,7408,-,7408,127,10337,13991,116.08%,15.74%,1.40
2020-03-31,2535,5362,1757,-6590,3064,65.98%,-5428,-91,-3375,-8894,0,-2591,-,-2591,-484,-8905,-2364,-,-3.13%,-0.24
2019-12-31,3268,6170,1840,8381,19659,19.31%,-3940,-777,1181,-3536,0,-3571,-,-3571,304,12856,15719,17.68%,17.98%,1.58
2019-09-30,2134,5563,1779,-1584,7892,-8.10%,-3385,-398,-1291,-5074,0,-1960,-,-1960,-269,589,4507,-25.64%,6.44%,0.46
2019-06-30,2625,5202,1971,-680,9118,22.41%,-2643,-117,-4789,-7549,0,-2158,-,-2158,47,-542,6475,43.89%,10.21%,0.66
2019-03-31,3561,4854,1274,-7843,1846,-,-2721,-1169,-4233,-8123,0,-2377,-,-2377,-12,-8666,-875,-,-1.47%,-0.09
2018-12-31,3027,4262,1417,7771,16477,33.33%,-3120,-331,-121,-3572,0,-1761,-,-1761,-3,11141,13357,43.28%,18.45%,1.36
2018-09-30,2883,3778,1350,577,8588,127.38%,-2527,-976,-2069,-5572,0,-2369,-,-2369,-151,496,6061,442.13%,10.71%,0.62
2018-06-30,2534,3630,1468,-183,7449,93.48%,-2949,-866,1123,-2692,0,-1394,-,-1394,-443,2920,4500,233.58%,8.51%,0.46
2018-03-31,1629,3671,1182,-8273,-1791,-,-2727,-13,2207,-533,0,-2164,-,-2164,248,-4240,-4518,-,-8.85%,-0.47
2017-12-31,1857,3498,1179,5824,12358,13.18%,-3036,-81,1136,-1981,0,-2571,-,-2571,90,7896,9322,4.59%,15.42%,0.96
2017-09-30,256,2912,1085,-476,3777,-18.93%,-2659,-13213,-2606,-18478,0,14662,-,14662,148,109,1118,-60.33%,2.56%,0.12
2017-06-30,197,2633,1158,-138,3850,7.60%,-2501,-633,-2140,-5274,0,-1274,-,-1274,248,-2450,1349,-27.75%,3.55%,0.14
2017-03-31,724,2435,792,-5570,-1619,-,-1861,-45,556,-1350,0,-888,-,-888,224,-3633,-3480,-,-9.74%,-0.36
2016-12-31,749,2297,887,6986,10919,22.26%,-2006,-3,-1805,-3814,0,-568,-,-568,-544,5993,8913,16.94%,20.38%,0.93
2016-09-30,252,2084,776,1547,4659,78.51%,-1841,-84,-645,-2570,0,-1000,-,-1000,46,1135,2818,99.15%,8.61%,0.30
2016-06-30,857,1909,768,44,3578,79.17%,-1711,-14,-714,-2439,0,-1152,-,-1152,64,51,1867,138.14%,6.14%,0.20
2016-03-31,513,1827,544,-4837,-1953,-,-1179,-16,502,-693,0,-996,-,-996,222,-3420,-3132,-,-10.75%,-0.33
2015-12-31,482,1752,818,5879,8931,33.00%,-1309,-317,-224,-1850,0,-1597,-212,-1809,-91,5181,7622,36.84%,21.32%,0.82
2015-09-30,79,1599,449,483,2610,47.79%,-1195,-105,-77,-1377,0,-825,95,-730,-63,440,1415,264.69%,5.58%,0.15
2015-06-30,92,1504,468,-67,1997,131.67%,-1213,-8,-155,-1376,0,-786,95,-691,102,32,784,-,3.38%,0.08
2015-03-31,-57,1426,385,-3253,-1499,-,-871,-365,-611,-1847,0,-674,22,-652,-322,-4320,-2370,-,-10.43%,-0.26
2014-12-31,214,1380,523,4598,6715,20.38%,-1145,-53,-1267,-2465,0,5324,-115,5209,-160,9299,5570,18.54%,18.99%,0.60
2014-09-30,-437,1247,377,579,1766,27.23%,-1378,-860,1292,-946,0,-412,-,-412,-207,201,388,10.86%,1.89%,0.04
2014-06-30,-126,1109,391,-512,862,-2.05%,-1290,-67,626,-731,0,-189,-,-189,41,-17,-428,-,-2.21%,-0.05
2014-03-31,108,1010,200,-3820,-2502,-,-1080,0,156,-924,0,-296,121,-175,17,-3584,-3582,-,-18.14%,-0.39
2013-12-31,240,962,248,4128,5578,9.78%,-879,-60,95,-844,0,-21,78,57,-5,4786,4699,53.81%,18.36%,0.51
2013-09-30,-41,834,281,314,1388,47.19%,-1038,-1,-24,-1063,0,-230,-,-230,73,168,350,54.19%,2.05%,0.04
+70 Quarters,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
