Date,Market Capitalization,Market Cap Growth,Enterprise Value,PE Ratio,PS Ratio,PB Ratio,P/FCF Ratio,P/OCF Ratio,Debt / Equity Ratio,Quick Ratio,Current Ratio,Interest Coverage,Dividend Yield,Payout Ratio,Buyback Yield / Dilution,Total Shareholder Return
2023-07-01,3050896,0.3306,2993633,32.2,7.95,50.62,30.21,26.98,1.81,0.81,0.98,23.78,0.005,0.18899999999999997,0.03,0.035
2023-04-01,2609039,-0.085,2552321,27.66,6.78,41.97,26.76,23.81,1.76,0.76,0.94,31.52,0.006,0.15,0.0339,0.039900000000000005
2022-12-31,2066942,-0.2853,2012602,21.72,5.33,36.44,21.2,18.93,1.96,0.77,0.94,36.52,0.006999999999999999,0.122,0.0341,0.041100000000000005
2022-09-24,2417523,-0.0046,2368483,24.22,6.13,47.71,21.69,19.79,2.37,0.71,0.88,30.81,0.006,0.17800000000000002,0.0311,0.0371
2022-06-25,2292793,0.0322,2233176,23.01,5.92,39.46,21.31,19.39,2.06,0.7,0.87,33.08,0.006,0.192,0.031,0.037000000000000005
2022-03-26,2851333,0.4012,2778584,27.97,7.39,42.31,26.95,24.49,1.78,0.76,0.93,44.62,0.005,0.14300000000000002,0.0311,0.0361
2021-12-25,2892120,0.289,2812322,28.76,7.65,40.21,28.4,25.77,1.71,0.88,1.04,60.43,0.005,0.10400000000000001,0.0347,0.0397
2021-09-25,2428612,0.2647,2362815,25.65,6.64,38.49,26.13,23.34,1.98,0.91,1.08,35.6,0.006,0.17600000000000002,0.036000000000000004,0.042
2021-06-26,2221291,0.44920000000000004,2149438,25.59,6.4,34.56,23.44,21.27,1.89,0.89,1.06,37.65,0.006,0.168,0.0366,0.0426
2021-03-27,2034885,0.8772,1952157,26.67,6.25,29.42,22.49,20.43,1.76,0.97,1.14,42.81,0.006999999999999999,0.145,0.0391,0.0461
2020-12-26,2243728,0.7425,2160200,35.1,7.63,33.88,27.97,25.23,1.69,1.02,1.16,53.63,0.006,0.121,0.039599999999999996,0.045599999999999995
2020-09-26,1920273,0.9419,1840879,33.45,7.0,29.39,26.17,23.8,1.72,1.22,1.36,24.5,0.006999999999999999,0.273,0.045599999999999995,0.0526
2020-06-27,1532751,0.6831,1451857,26.24,5.6,21.21,21.38,19.16,1.56,1.31,1.47,19.85,0.009000000000000001,0.315,0.0536,0.0626
2020-03-28,1083981,0.2102,1000644,18.95,4.05,13.82,16.27,14.38,1.4,1.3,1.5,18.35,0.012,0.302,0.063,0.075
2019-12-28,1287658,0.7369,1188889,22.38,4.81,14.38,20.13,17.59,1.21,1.44,1.6,34.02,0.01,0.153,0.0668,0.0768
2019-09-28,988887,-0.09300000000000001,891036,17.9,3.8,10.93,16.79,14.25,1.19,1.38,1.54,20.91,0.013999999999999999,0.254,0.0675,0.0815
2019-06-29,910645,0.0009,808453,16.35,3.52,9.44,15.63,13.2,1.12,1.35,1.51,14.75,0.015,0.35100000000000003,0.066,0.081
2019-03-30,895667,0.0521,782886,15.67,3.47,8.46,14.97,12.46,1.06,1.13,1.32,14.66,0.015,0.294,0.0726,0.0876
2018-12-29,741374,-0.1467,611069,12.48,2.83,6.29,11.96,9.78,0.97,1.14,1.3,27.86,0.018000000000000002,0.17300000000000001,0.0746,0.0926
2018-09-29,1090307,0.3696,967690,18.32,4.11,10.18,17.0,14.08,1.07,0.99,1.13,19.92,0.012,0.249,0.06480000000000001,0.0768
2018-06-30,909841,0.21170000000000003,780698,16.21,3.56,7.92,15.29,12.35,1.0,1.1,1.31,16.7,0.013999999999999999,0.308,0.058600000000000006,0.0726
2018-03-31,851318,0.1295,705932,15.97,3.44,6.71,15.56,12.55,0.96,1.24,1.46,21.41,0.015,0.23,0.036699999999999997,0.051699999999999996
2017-12-30,868880,0.4069,706183,17.2,3.63,6.2,16.26,13.31,0.87,1.11,1.24,37.83,0.015,0.161,0.0319,0.046900000000000004
2017-09-30,796065,0.31079999999999997,642850,16.46,3.47,5.94,15.38,12.39,0.86,1.09,1.28,21.9,0.016,0.303,0.038900000000000004,0.054900000000000004
2017-07-01,750897,0.4678,597720,16.1,3.36,5.67,14.11,11.55,0.82,1.22,1.39,19.78,0.016,0.376,0.0437,0.059699999999999996
2017-04-01,753718,0.2864,595399,16.48,3.42,5.62,13.82,11.25,0.73,1.2,1.39,28.71,0.016,0.26899999999999996,0.0504,0.0664
2016-12-31,617588,0.0254,459047,13.66,2.83,4.67,11.47,9.36,0.66,1.05,1.23,47.06,0.019,0.168,0.047599999999999996,0.0666
2016-09-24,607331,-0.0716,456778,13.29,2.82,4.74,11.35,9.17,0.68,1.22,1.35,28.08,0.019,0.336,0.0509,0.0699
2016-06-25,511591,-0.2994,365006,10.7,2.32,4.04,10.23,8.1,0.67,1.13,1.31,26.6,0.023,0.39799999999999996,0.052000000000000005,0.075
2016-03-26,585896,-0.1839,432840,11.56,2.58,4.49,10.62,8.68,0.61,1.1,1.28,45.06,0.02,0.273,0.0504,0.0704
2015-12-26,602303,-0.09910000000000001,449527,11.21,2.56,4.7,9.59,8.03,0.49,0.82,1.0,90.03,0.019,0.158,0.0489,0.0679
2015-09-26,654159,0.0843,512821,12.25,2.8,5.48,9.37,8.05,0.54,0.89,1.11,64.29,0.017,0.263,0.048499999999999995,0.0655
2015-06-27,730211,0.3166,581781,14.39,3.26,5.81,10.53,9.01,0.43,0.84,1.09,73.0,0.015,0.28,0.046,0.061
2015-03-28,717900,0.49920000000000003,568232,15.02,3.38,5.57,11.17,9.41,0.34,0.87,1.16,114.89,0.015,0.2,0.052300000000000006,0.0673
2014-12-27,668533,0.32659999999999995,526981,15.04,3.35,5.42,11.19,9.45,0.3,0.85,1.13,187.38,0.016,0.152,0.0679,0.0839
2014-09-27,603278,0.37549999999999994,483334,15.27,3.3,5.41,12.09,10.1,0.32,0.82,1.08,100.76,0.018000000000000002,0.327,0.0616,0.0796
2014-06-28,554609,0.4901,421159,14.39,3.11,4.59,11.53,9.84,0.26,1.18,1.47,105.84,0.019,0.36200000000000004,0.0646,0.0836
2014-03-29,478871,0.152,345244,12.7,2.72,3.99,10.39,8.88,0.14,1.32,1.63,163.56,0.023,0.261,0.0703,0.0933
2013-12-28,503935,0.0513,362054,13.61,2.9,3.89,11.39,9.52,0.13,1.23,1.49,211.82,0.021,0.21,0.0483,0.0693
2013-09-28,438575,-0.2987,308774,11.84,2.57,3.55,9.84,8.17,0.14,1.4,1.68,123.2,0.024,0.363,0.041100000000000005,0.06509999999999999
