Date,Market Capitalization,Market Cap Growth,Enterprise Value,PE Ratio,PS Ratio,PB Ratio,P/FCF Ratio,P/OCF Ratio,Debt / Equity Ratio,Quick Ratio,Current Ratio,Interest Coverage,Buyback Yield / Dilution,Total Shareholder Return,Adj Close
2023-06-30,829681.0,0.1892,808937.0,68.04,8.82,16.23,134.64,59.45,0.05,0.96,1.59,109.07,-0.019299999999999998,-0.019299999999999998,261.7699890136719
2023-03-31,656425.0,-0.4106,636699.0,55.86,7.63,13.66,113.61,49.57,0.06,0.93,1.57,96.66,-0.0203,-0.0203,207.4600067138672
2022-12-31,388972.0,-0.6335000000000001,369886.0,30.98,4.78,8.7,51.44,26.42,0.07,0.94,1.53,121.09,-0.0384,-0.0384,
2022-09-30,831153.0,0.08259999999999999,813599.0,74.28,11.1,20.86,93.26,51.85,0.09,0.95,1.46,68.87,-0.051100000000000007,-0.051100000000000007,265.25
2022-06-30,697670.0,0.0655,683185.0,73.32,10.39,19.18,100.57,49.56,0.12,0.96,1.43,57.0,-0.068,-0.068,224.47332763671875
2022-03-31,1113708.0,0.7371,1100507.0,132.6,17.91,32.67,160.82,80.41,0.14,0.95,1.35,61.07,-0.07629999999999999,-0.07629999999999999,359.20001220703125
2021-12-31,1061287.0,0.5866,1050414.0,192.3,19.72,35.16,212.98,92.31,0.23,1.0,1.38,37.8,-0.0681,-0.0681,352.260009765625
2021-09-30,767737.0,0.9205,759796.0,221.38,16.39,28.38,188.77,77.31,0.3,1.0,1.39,15.61,-0.0647,-0.0647,258.49334716796875
2021-06-30,654776.0,2.2712,647948.0,300.22,15.64,26.4,158.77,71.3,0.38,1.12,1.51,17.76,-0.0463,-0.0463,226.56666564941406
2021-03-31,641115.0,5.7469,634846.0,560.91,17.84,27.85,163.84,79.9,0.47,1.28,1.66,6.12,-0.050300000000000004,-0.050300000000000004,222.64332580566406
2020-12-31,668905.0,7.8712,661260.0,927.75,21.21,30.1,246.74,112.55,0.53,1.49,1.88,2.43,-0.0528,-0.0528,235.22332763671875
2020-09-30,399755.0,8.2651,398957.0,718.98,14.19,24.94,218.21,91.92,0.86,1.22,1.64,4.17,-0.0446,-0.0446,143.00332641601562
2020-06-30,200166.0,4.1563,205690.0,543.93,7.79,20.31,250.52,74.0,1.43,0.82,1.25,1.74,-0.048600000000000004,-0.048600000000000004,71.98733520507812
2020-03-31,95023.0,0.9658,100886.0,-659.88,3.65,10.36,95.31,36.48,1.52,0.78,1.24,1.11,-0.057800000000000004,-0.057800000000000004,34.93333435058594
2019-12-31,75402.0,0.3193,82553.0,-87.47,3.07,11.39,77.49,31.35,2.03,0.71,1.14,1.86,-0.0464,-0.0464,27.8886661529541
2019-09-30,43146.0,-0.044800000000000006,50918.0,-52.17,1.77,7.14,49.14,19.48,2.21,0.66,1.08,1.91,-0.049100000000000005,-0.049100000000000005,16.058000564575195
2019-06-30,38820.0,-0.3333,46762.0,-58.91,1.56,6.79,28.46,13.62,2.28,0.65,1.06,-1.26,-0.0412,-0.0412,
2019-03-31,48338.0,0.0753,57502.0,-49.91,2.14,10.5,-1239.84,26.04,2.5,0.37,0.83,-3.3,-0.022799999999999997,-0.022799999999999997,
2018-12-31,57153.0,0.0922,65246.0,-58.56,2.66,11.61,-258.61,27.24,2.43,0.48,0.83,1.93,-0.0183,-0.0183,22.18666648864746
2018-09-30,45168.0,-0.2065,53821.0,-25.2,2.58,10.02,-30.15,32.91,2.61,0.44,0.81,2.87,-0.0222,-0.0222,
2018-06-30,58231.0,-0.0197,67464.0,-21.39,4.26,14.91,-15.03,-182.51,2.97,0.32,0.73,-3.3,-0.028999999999999998,-0.028999999999999998,
2018-03-31,44955.0,-0.0008,52931.0,-19.2,3.61,10.1,-10.16,-115.4,2.42,0.4,0.74,-3.71,-0.0433,-0.0433,
2017-12-31,52328.0,0.6336999999999999,59119.0,-26.67,4.45,12.35,-12.63,-857.83,2.43,0.53,0.86,-3.69,-0.0916,-0.0916,
2017-09-30,56925.0,0.8764,63266.0,-40.45,5.29,12.08,-11.68,-55.88,2.12,0.66,1.09,-4.29,-0.12279999999999999,-0.12279999999999999,
2017-06-30,59398.0,1.089,64187.0,-77.53,5.9,11.63,-18.83,-201.66,1.56,0.55,0.97,-1.96,-0.1802,-0.1802,24.107332229614258
2017-03-31,44993.0,0.4828,49067.0,-62.24,5.26,9.02,-23.19,803.95,1.64,0.73,1.13,-2.07,-0.222,-0.222,18.553333282470703
2016-12-31,32030.0,0.0191,35660.0,-47.46,4.58,6.74,-20.48,-258.67,1.5,0.69,1.07,-0.69,-0.18280000000000002,-0.18280000000000002,
2016-09-30,30338.0,-0.0394,29854.0,-34.71,5.12,11.32,-34.64,103.0,1.01,0.86,1.27,1.64,-0.1549,-0.1549,13.60200023651123
2016-06-30,28434.0,-0.16149999999999998,28375.0,-25.26,6.22,11.28,-17.26,-85.53,1.3,0.93,1.38,-5.24,-0.10490000000000001,-0.10490000000000001,14.152000427246094
2016-03-31,30343.0,0.2781,31991.0,-29.84,7.13,31.27,-14.67,-47.24,3.26,0.57,1.02,-5.85,-0.053399999999999996,-0.053399999999999996,15.317999839782715
2015-12-31,31430.0,0.12710000000000002,32906.0,-35.37,7.77,29.0,-14.56,-59.92,2.49,0.49,0.99,-7.17,-0.044800000000000006,-0.044800000000000006,16.000667572021484
2015-09-30,31582.0,0.044199999999999996,32784.0,-46.73,8.34,24.02,-14.53,-54.35,2.04,0.63,1.17,-6.78,-0.032799999999999996,-0.032799999999999996,16.559999465942383
2015-06-30,33909.0,0.1383,35406.0,-65.12,9.16,47.36,-17.94,-83.58,3.75,0.56,1.1,-6.44,-0.0196,-0.0196,17.884000778198242
2015-03-31,23740.0,-0.0755,24780.0,-59.59,6.75,28.74,-15.8,-95.78,3.13,0.8,1.33,-4.69,-0.02,-0.02,12.584667205810547
2014-12-31,27886.0,0.5121,28439.0,-94.84,8.72,30.59,-27.15,-486.36,2.73,1.03,1.51,-2.62,-0.0217,-0.0217,14.827333450317383
2014-09-30,30245.0,0.2879,30317.0,-149.23,10.59,31.57,-57.33,185.49,2.58,1.39,1.83,-1.44,-0.025,-0.025,16.178667068481445
2014-06-30,29789.0,1.4012,29546.0,-178.96,12.23,31.28,-156.83,101.64,2.57,1.77,2.18,-0.94,-0.0512,-0.0512,16.003999710083008
2014-03-31,25679.0,4.9181,25289.0,-190.13,12.39,28.16,-290.45,98.98,2.41,1.88,2.23,-3.12,0.0064,0.0064,13.896666526794434
2013-12-31,18442.0,3.7855000000000003,18193.0,-249.16,9.16,27.64,31796.0,69.64,0.91,1.34,1.88,-1.39,-0.0793,-0.0793,10.028667449951172
2013-09-30,23485.0,6.6075,23357.0,-159.02,13.78,41.63,-163.94,245.68,1.2,0.73,1.04,-4.81,-0.1545,-0.1545,12.891332626342773
